Case Type,Petitioner,Defendant,Evidence Volume,No. of Parties,Case Complexity,Legal Precedence,First Trail,Last Trail,Completed Days,Outcome
 Contractual Dispute     , Sharma Enterprises , Patel Constructions , High             , 2               , Medium           , None             , 2023-06-01 , 2023-07-15 , 44              , Won        
 Intellectual Property  , Kapoor Innovations , Singh Creations     , Medium           , 3               , High             , Gupta v. Reddy   , 2023-07-10 , 2023-09-20 , 72              , Lost       
 Real Estate Dispute     , Gupta Realty       , Kumar Properties    , High             , 4               , Low              , Patel v. Singh   , 2023-08-05 , 2023-11-10 , 98              , Won        
 Business Reports        , Agarwal Trends      , Mehra Analytics     , Low              , 2               , High             , None             , 2023-09-15 , 2023-10-20 , 35              , Won        
 Product Liability       , Tiwari Gadgets Inc. , Sharma Safety       , High             , 3               , Low              , Agarwal v. Yadav , 2023-10-20 , 2024-01-10 , 82              , Lost       
 Real Estate Dispute     , Reddy Developers    , Verma Estates       , High             , 0               , Medium           , Mehra v. Kumar   , 2024-01-01 , 2024-03-28 , 87              , Lost       
 Intellectual Property  , Raj Innovations     , Gupta Technologies  , Medium           , 2               , Medium           , None             , 2024-02-10 , 2024-03-20 , 38              , Won        
 Contractual Dispute     , Yadav Corporation   , Sharma Ltd.         , Low              , 1               , Low              , None             , 2024-03-15 , 2024-04-30 , 46              , Won        
 Business Reports        , Mehra Strategies    , Verma Analytics     , High             , 3               , High             , Singh v. Tiwari  , 2024-04-01 , 2024-06-15 , 75              , Lost       
 Real Estate Dispute     , Kumar Homes Inc.    , Patel Properties    , Medium           , 2               , Medium           , Yadav v. Sharma  , 2024-05-05 , 2024-07-20 , 76              , Won        
 Product Liability       , Kapoor Products Ltd., Consumer Care Inc.  , Low              , 0               , Low              , None             , 2024-06-10 , 2024-07-25 , 46              , Won        
 Intellectual Property  , Verma Designs       , Yadav Innovations   , High             , 4               , High             , Mehra v. Gupta   , 2024-07-15 , 2024-10-10 , 87              , Lost       
 Contractual Dispute     , Agarwal Enterprises , Patel Holdings      , Medium           , 2               , Medium           , None             , 2024-08-20 , 2024-10-05 , 47              , Lost       
 Real Estate Dispute     , Singh Developers    , Mehta Estates       , High             , 3               , High             , Tiwari v. Yadav  , 2024-09-25 , 2024-12-30 , 97              , Won        
 Business Reports        , Gupta Insights      , Agarwal Analytics   , Low              , 1               , Low              , None             , 2024-11-01 , 2024-12-15 , 45              , Won        
 Product Liability       , Yadav Devices Inc.  , Safety Solutions Co., Medium           , 2               , Medium           , Mehra v. Lee    , 2025-01-05 , 2025-03-20 , 76              , Lost       
 Intellectual Property  , Patel Creations     , Innovate India      , High             , 4               , High             , Gupta v. Kumar  , 2025-02-10 , 2025-05-15 , 95              , Won        
 Contractual Dispute     , Kumar Ltd.          , Agarwal Corp.       , Low              , 1               , Low              , None             , 2025-03-20 , 2025-05-05 , 47              , Won        
 Business Reports        , Sharma Trends       , Gupta Analytics    , High             , 3               , High             , Singh v. Lee     , 2025-04-25 , 2025-06-10 , 46              , Lost       
 Real Estate Dispute     , Verma Properties    , Yadav Estates       , Medium           , 2               , Medium           , Mehra v. Singh  , 2025-05-30 , 2025-07-15 , 46              , Won        
 Contractual Dispute     , Desai Holdings      , Reddy Constructions , Medium           , 2               , Medium           , None             , 2023-06-01 , 2023-07-15 , 44              , Won        
 Intellectual Property  , Malhotra Innovations, Choudhary Creations , Low              , 1               , Low              , Gupta v. Reddy   , 2023-07-10 , 2023-09-20 , 72              , Lost       
 Real Estate Dispute     , Patel Realty        , Khan Properties     , High             , 4               , Low              , Patel v. Singh   , 2023-08-05 , 2023-11-10 , 98              , Won        
 Business Reports        , Mehta Trends        , Kapoor Analytics    , Medium           , 2               , High             , None             , 2023-09-15 , 2023-10-20 , 35              , Won        
 Product Liability       , Nair Gadgets Inc.   , Menon Safety        , High             , 3               , Low              , Agarwal v. Yadav , 2023-10-20 , 2024-01-10 , 82              , Lost       
 Real Estate Dispute     , Chauhan Developers  , Khanna Estates      , Medium           , 2               , Medium           , Mehra v. Kumar   , 2024-01-01 , 2024-03-28 , 87              , Lost       
 Intellectual Property  , Joshi Innovations   , Kapoor Technologies , High             , 4               , High             , None             , 2024-02-10 , 2024-03-20 , 38              , Won        
 Contractual Dispute     , Reddy Corporation   , Verma Ltd.          , Low              , 1               , Low              , None             , 2024-03-15 , 2024-04-30 , 46              , Won        
 Business Reports        , Gupta Strategies    , Agarwal Analytics   , Medium           , 2               , Medium           , Singh v. Tiwari  , 2024-04-01 , 2024-06-15 , 75              , Lost       
 Real Estate Dispute     , Khan Homes Inc.     , Deshmukh Properties , High             , 3               , High             , Yadav v. Sharma  , 2024-05-05 , 2024-07-20 , 76              , Won        
 Product Liability       , Raj Products Ltd.   , Consumer Care Inc.  , Low              , 0               , Low              , None             , 2024-06-10 , 2024-07-25 , 46              , Won        
